"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PAK",2001,191.30222953989367019,63629.0052888185332065
"PAK",2002,311.29604853362310176,110694.901811548764205
"PAK",2003,591.44081138983314642,231356.1954899567465863
"PAK",2004,1087.50035779248188622,322506.2645059145238463
"PAK",2005,910.78262611641475850,224287.712600252399502
"PAK",2006,1261.46270873597367440,326643.336706273824850
"PAK",2007,1083.75136026067084879,266685.0002960340774037
"PAK",2008,995.03152047170866799,312934.196653348553917
"PAK",2009,878.93167556915259992,218915.4881513329581801
"PAK",2010,690.44019563410850082,174206.9938319050664939
"PAK",2011,449.89019962438132453,128354.893276658400583
"PAK",2012,223.22592050414605985,76324.4639602650772137
"PAK",2013,58.02100167342879842,23283.6217689735295528
"PAK",2014,34.82787293223198773,15038.451740047333591
"PAK",2015,2.41608826049479162,1075.438895264828352
"PAK",2017,186.36409514577034014,36267.55013097101679
"PAK",2018,73.64783526847980970,23189.345055564605577
"PAK",2019,78.28540945318578220,30426.8764443638699127
"PAK",2020,66.93545053930772100,24752.420012394684232
"PAK",2021,57.29336734512261031,20097.756131810376379
"PAK",2022,44.31425311406575422,17597.538469919016466
"PAK",2023,141.40668075779186570,59028.864995611738688
"PAK",2024,114.84624364671116307,51105.2380345643594535
